img1,img2,verified,distance
7T5A8407.jpg,1,1
7T5A8416.jpg,2,1
7T5A8416_2.jpg,2,3
7T5A8432.jpg,3,1
7T5A8432_2.jpg,3,1
7T5A8445.jpg,4,1
7T5A8450.jpg,5,1
7T5A8452.jpg,6,8
7T5A8456.jpg,7,1
7T5A8457.jpg,8,1
7T5A8458.jpg,9,1
7T5A8468.jpg,10,12
7T5A8478.jpg,11,13
7T5A8485.jpg,12,1
7T5A8735.jpg,13,1
7T5A8740.jpg,14,1
7T5A8749.jpg,15,1
7T5A8753.jpg,16,18
7T5A8758.jpg,17,19
7T5A8762.jpg,18,20
7T5A8768.jpg,19,21
7T5A8795.jpg,20,22
7T5A8935.jpg,21,23
7T5A8936.jpg,22,1
7T5A9437.jpg,23,1
7T5A9449.jpg,24,1
7T5A9450.jpg,25,1
7T5A9451.jpg,26,1
7T5A9454.jpg,27,29
7T5A9474.jpg,28,1
7T5A9492.jpg,29,1
7T5A9492_2.jpg,29,1
7T5A9492_3.jpg,29,1
7T5A9493.jpg,30,1
7T5A9496.jpg,31,1
7T5A9500.jpg,32,1
7T5A9583.jpg,33,1
7T5A9599.jpg,34,38
7T5A9654.jpg,35,1
7T5A9676.jpg,36,40
7T5A9678.jpg,37,1
7T5A9678_2.jpg,37,1
7T5A9685.jpg,38,43
7T5A9685_2.jpg,38,1
7T5A9686.jpg,39,1
IMG_6716.jpg,40,1
IMG_6752.jpg,41,1
IMG_6752_2.jpg,41,48
IMG_6753.jpg,42,1
